Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199906","Water - Precipitation - rain","1999-06-15","1999-06-01","1999-06-30","","-4.81","Antarctic Climate and Ecosystems Cooperative Research Centre","","","","","","23.6","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199907","Water - Precipitation - rain","1999-07-15","1999-07-01","1999-07-31","","-8.41","Antarctic Climate and Ecosystems Cooperative Research Centre","","","","","","94.1","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199908","Water - Precipitation - rain","1999-08-15","1999-08-01","1999-08-31","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199909","Water - Precipitation - rain","1999-09-15","1999-09-01","1999-09-30","","-3.43","Antarctic Climate and Ecosystems Cooperative Research Centre","","","","","","25.5","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199910","Water - Precipitation - rain","1999-10-15","1999-10-01","1999-10-31","","-4.6","Antarctic Climate and Ecosystems Cooperative Research Centre","","","","","","53.5","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199911","Water - Precipitation - rain","1999-11-15","1999-11-01","1999-11-30","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199912","Water - Precipitation - rain","1999-12-15","1999-12-01","1999-12-31","","-3.32","Antarctic Climate and Ecosystems Cooperative Research Centre","","","","","","41","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","200001","Water - Precipitation - rain","2000-01-15","2000-01-01","2000-01-31","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","200002","Water - Precipitation - rain","2000-02-15","2000-02-01","2000-02-29","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","200003","Water - Precipitation - rain","2000-03-15","2000-03-01","2000-03-31","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","200004","Water - Precipitation - rain","2000-04-15","2000-04-01","2000-04-30","","-4.64","Antarctic Climate and Ecosystems Cooperative Research Centre","","","","","","20.5","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","200005","Water - Precipitation - rain","2000-05-15","2000-05-01","2000-05-31","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","200006","Water - Precipitation - rain","2000-06-15","2000-06-01","2000-06-30","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","200007","Water - Precipitation - rain","2000-07-15","2000-07-01","2000-07-31","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","200008","Water - Precipitation - rain","2000-08-15","2000-08-01","2000-08-31","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","200009","Water - Precipitation - rain","2000-09-15","2000-09-01","2000-09-30","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","200010","Water - Precipitation - rain","2000-10-15","2000-10-01","2000-10-31","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","200011","Water - Precipitation - rain","2000-11-15","2000-11-01","2000-11-30","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","200012","Water - Precipitation - rain","2000-12-15","2000-12-01","2000-12-31","","","","","","","","","","",""
